name,city,state,lat,lon
Great American Music Hall,San Francisco,California,37.7847659,-122.41883557457422
The Chapel,San Francisco,California,37.7604879,-122.42120099500367
Rickshaw Stop,San Francisco,California,37.7759904,-122.42047537588324
The Independent,San Francisco,California,37.7755281,-122.43764100406057
Bottom of the Hill,San Francisco,California,37.7649626,-122.39641152655962
Cafe du Nord,San Francisco,California,37.7667182,-122.43054460123211
The Fillmore,San Francisco,California,37.7840838,-122.433171
Kilowatt,San Francisco,California,37.7649743,-122.4232405
DNA Lounge,San Francisco,California,37.77108755,-122.41261257044634
Hotel Utah,San Francisco,California,37.77930235,-122.39816076428788
Cornerstone,San Francisco,California,37.7574184,-122.48367362001542
Elbo Room,San Francisco,California,37.7625463,-122.4215367
924 Gilman,San Francisco,California,37.879307,-122.297145
August Hall,San Francisco,California,37.7875876,-122.4097872
Boom Boom Room,San Francisco,California,37.7846021,-122.433137
Cafe Du Nord,San Francisco,California,37.7667182,-122.43054460123211
CounterPulse,San Francisco,California,37.7833739,-122.4104095
Gray Area,San Francisco,California,37.7544372,-122.4182629024854
Hotel Utah,San Francisco,California,37.77930235,-122.39816076428788
Kilowatt,San Francisco,California,37.7649743,-122.4232405
Knockout,San Francisco,California,37.7451409,-122.420005
The Lost Church,San Francisco,California,37.7657871,-122.41846711128797
Make Out Room,San Francisco,California,37.755275,-122.4194265
Neck of the Woods,San Francisco,California,37.7831255,-122.4637116
Public Works,San Francisco,California,37.7688931,-122.41926507660828
Regency Ballroom,San Francisco,California,37.7878176,-122.4215762
Thee Parkside,San Francisco,California,37.7651806,-122.399908
Warfield,San Francisco,California,37.7826218,-122.41034204471734
Starline Social Club,Oakland,California,37.8122821,-122.2725457777843
Ashkenaz,Berkeley,California,37.88014045,-122.29534700403023
The Back Room,Los Angeles,California,34.201225,-118.6005277
Eli’s Mile High Club,Oakland,California,37.8257804,-122.26967135
Ivy Room,,California,37.8904419,-122.2992009
Little Hill Lounge,,California,37.9129477,-122.3099732
The New Parish,Oakland,California,37.8076736,-122.2725839
Thee Stork Club,Oakland,California,37.81313635,-122.26838485
UC Theatre,Berkeley,California,37.8718055,-122.2698143
Yoshi’s,Oakland,California,37.796226,-122.2785951
Sweetwater Music Hall,,California,37.9069947,-122.54814382670912
Eagle,,California,37.82937395,-121.6267405
Fox Theater,Oakland,CA,37.808,-122.2708
Greek Theatre,Berkeley,CA,37.8735,-122.2547
Baltic Kiss,Richmond,CA,37.9362,-122.3535
The Freight,Berkeley,CA,37.8703,-122.2698
Timbre Folk and Baroque,Berkeley,CA,37.8661,-122.2903
4 Star Theater,San Francisco,CA,37.7821,-122.4838
Brick & Mortar Music Hall,San Francisco,CA,37.7687,-122.4204
SFJAZZ Center,San Francisco,CA,37.7763,-122.4218
